comment,label
duma,1
T thấy t ế vs độc thân may mắn quá bây ơi 🤣🤣,0
còn dầu ăn k em ship vào nhà cho???,0
HONG VU NAY CHUA,0
tưởng mình tao vs mày để ý chai dầu còn có 1 nửa chứ,0
Nên diệt bọn lẩu gà. Tác nhân chính lây lan HIV,1
Nhục tới cuối đời luôn ấy chớ,0
"""Mua bán diêm là phạm pháp rồi, đã phạm pháp thì ko việc gì phải censor =))""",0
T là con trai giờ mới biết gu mấy ô mặn thật 🤣 chắc do T kén quá chăng,0
Mấy ngày nay mình thấy rần rần . Mình ko tin nổi mình nghĩ họ giỡn thôi đúng ko mọi người,0
Nên cong khai hết nhé...vì bệnh nhiễm này kia còn kiếm soat dc,0
"""Iồn má chất v """,0
đụ má jet quá cốt guộc ơi,0
Lònnn má đĩnhhhh vậy có đèn thật kìa,1
đù mắ cốt guột jet v,1
"""yay, từ nay bạn trai cũ của tôi là mẹ kế của tôi, thật tuyệt =))))))""",1
"""Đồng tính? Con gái? Bạn trai cũ của con gái là chồng??? Mẹ kế của con gái là ex????????""",1
"""Anh bạn trai cũ: Tôi không có đc em thì phải có đc bố em! =))))))))))))))))))))))))))""",0
sau khi chia tay anh sẽ ko bao giờ yêu người con gái khác :))),0
:))) khi con gái phải gọi bạn trai cũ là ba :)),0
My boyfriend is my mom? 😀 This is so fked up,0
Rồi từ con gái lại thành ngyeu cũ của chồng ????,0
 mẹ kế phiên bản nam :)))),0
"""Team ăn mặn và quả cua khét lẹt cháy phanh. Chuyện đó có ai ngờ. Thôi thì """"mãi mãi"""" là 32 năm cũng khá là lâu rồi""",0
Trên đời này cái mẹ gì cũng có thể xảy ra,0
em là người phụ nữ cuối cùng của anh...,0
 tình con duyên bố =)) biết đâu chia tay xong Tony thẳng lại rồi yêu con gái ông này,0
" biết đó, rất nhiều điều ngang trái trong 1 bức ảnh :))""",1
Chắc là trai trẻ thì sung sức hơn chăng? 🙂,0
Không làm chồng em thì làm mẹ em = )),0
Má tỷ phú quậy cũng rối hơn người bình thường,0
Bẻ cong thành công hay do ông chú giàu vleu :))))),0
Lại bảo không yêu vì tiền đi 😩,0
Lãnh tình con duyên bố à =)),0
Ở Mỹ thì có gđ Kim 😀,1
Nước đi hay đấy 🙂🙂,0
nghe vô lí nhưng rất thuyết phục 😂,0
sáng ra rối não vỡi :v,0
đọc cái caption cũng muốn loạn não :) sau này đừng v nha shema.. :),0
"""Bạn trai cũ trở thành mẹ kế, tội em gái vl =)))""",0
32 năm còn toang bu em ạ =)),0
hông biết nói gì lun ó...,0
nhà em giàu nên anh lấy bố em,1
è xã hội lắn mqh lạ kì nè,0
Tẹt vời,0
một chút drama cuối ngày,0
Ủa z rốt cuộc là cha hay là bà dì ghẻ 👨‍❤️‍💋‍👨,0
t thấy chồng cũ đẹp hơn mà?? 😃,0
phuk tạp quá,0
Éo biết nói,0
cuộc sống đéo ai ngờ,0
 :) anh ko thể làm chồng em thì làm bố em,0
ko làm dc chồng em thì anh làm mẹ em?,1
xung quanh ta nhiều điều hay,1
Đọc cái tittle muốn xoắn não,0
32 năm đó trời 😢,0
thật bất ngờ 😱,0
ngộ lạ quá nè,0
tam quan sụp đổ,0
mấy chuỵ!!! Là sao mấy chuỵ 😂,0
dị v l,0
Nghĩ mà chán 😑😑😑,0
uạaa là s,0
"""Ok! Chia tay trên giấy tờ, nhưng thực tế là gia nhập thêm 1 người vợ""",1
Cuộc đời thật thú vị😌,0
J ngộ vậy,0
Hây mọi người có thể dừng gọi cậu bạn trai cũ bằng mấy danh xưng của phụ nữ được hông 🙂,0
Hơi quằn =))))))),0
Trịnh Hoàng Mai Nhi Phạm Hải My mọi thứ cứ tưởng màu hường cho đến khi kết thúc,0
:)),0
Mặn vậy r ai chơi lại 😳,0
Tuesdayyyy,0
???,0
đau đầu =))))))))))))),0
Ơ,0
Drama vcl😂,0
Buồn. :(,0
Vãi cả lồ,0
1 moi quan he phuc tap,1
Ơ,0
Oi vcl,1
bệnh vl :)),0
vcđ -__-,0
đọc comment 😌,1
Vl:)),1
:))) ngộ ha,1
tao vừa đọc cái lol j v =.=,0
I'm dead :)))))),1
?????? :D,0
quằn ta :)),1
"""Ngu, thằng này rõ ràng muốn đào mỏ, đào con ko đc qua đào cha.""",0
khó chịu vc,0
đọc cmt,0
lạ lol dị,0
Ơ kìa =))))) ,1
toang,0
gắt :)),1
:Đ,0
 dượng ơiii,0
vãi lonnnnnn,0
ơ :)),0
tức,0
cái đcm,1
 ??,0
 drama vl,0
hề hước,1
 mặn,0
Vlon :(((,1
làm cha !,0
chửi xong mốt phải gọi bằng bố ta nó nhục gần chết,0
Vl cẩu huyết,1
mặn quá kh tốt cho sức khỏe,0
Quằng z,0
bùng binh :),1
lè,0
Cha vs con mút chung que kem đây là 1 câu truyện buồn 😢😢,0
:))) ngộ hén,0
Ông kia chắc tính đào mỏ con gái kh đc quay ra chơi ông bố,0
đứa con gái nhìn mặt bạn trai cũ nó trong nhà đã đau vl rồi còn phải bị gọi là dad hay mom cơ ạ dkm=)))))),1
nhức đầu quá,0
Cái quái gì cũng có thể xảy ra -))),0
ứ cấn cấn sao đó,0
Tình con duyên ba :))),0
bạn trai cũ của tôi là mẹ kế tôi,0
hack não ghê ;)),0
Thật là điên rồ...,0
cuoi ia :)))))),0
Oan nghiệt,0
Tởm,0
Duiiii,0
:) đm,0
ok..,0
"Đ** hiểu luôn, tụi này được nuôi dạy kiểu gì.				",0
Nhìn phát là biết loại rác rưởi.				,0
Mày chỉ biết ngồi đó mà chê người khác.				,1
Loại đó chỉ biết gào thét như chó dại.				,0
Parky chó				,1
Parky lắm trò				,1
"Đụ mẹ, viết như loz vậy.				",0
"Đm, app gì như cc				",1
Nhìn là biết bắc kỳ				,1
Chỉ có bắc kỳ mới mất dạy  v				,1
Ai mất dạy như bắc kỳ				,1
Đúng là bọn lẩu gà bình thuận				,1
Bọn vai gãy				,1
Cháy go				,1
Nên diệt bọn lgbt				,1
Nhìn phát bt dân thanh hóa				,1
Mỏ này chỉ giỏi buscu thôi				,1
xàm lol				,1
bọn nunglol				,1
"Vãi cả cứt, đọc xong muốn out app.				",1
Người miền Bắc ăn nói mất dạy thật sự.				,1
Đàn bà thì chỉ nên vào bếp,1
con nít coi đc ảnh hưởng tâm lí sao tr bọn lẩu này,1
Tởm vc ra sao lại chiếu thể loại này cho trẻ con n xem😡,1
Phim như c,1
Gì mà gớm thời gì rồi mà còn kì thị người ta sao nầy còn em mình mắc phải thì sao,1
Phim gay cấn quá,1
Kéo hiểu Việt Nam làm mấy bộ phim nay nhà nước cho phép ha,1
Cái đell jz tr,1
Xin tên phim với ạ,0
Bà nội ơi Nắng khuya mà t đọc nhanh thành Nắc khuya 🤣🤣,1
Cdm tục z ba,0
Đúng là 1 câu chuyện cảm lạnh đến vãi cả cứt,1
Ý là mấy ông này ngoài đời cũng gay hả . Sao đóng đc thật zậy mấy mẹ. Kinh vch,0
Xh bây giờ chiếu công khai mấy thể loại này bởi tụi trẻ thành trào lưu,0
Tác giả kím sao đc diễn viên hay vậy,1
Cái qq gì vậy trời,1
Gom qua,1
Ko có kì thị ai nhưng làm phim như vậy sẽ ảnh hưởng đến sự tò mò của giới trẻ và sẽ sanh ra nhiều tiêu cực.,0
Hiện tại tui đứa có vk và hai con trai..s cứ lướt thấy mấy clip này,0
Phim gay cấn quá đi,1
phim sex còn lịch sự hơn,0
Phim trong có chán Ko,0
Toàn mấy cái tào lao đưa lên,0
Trùm phim gay,1
Ỷ Thiên Kiếm đấu với Đồ Long Đao à 😎😂,0
Ý là lúc đầu tưởng qua xin tắm ké rồi ăn trựt cơm luôn ai ngờ má ơi😇😇😇,0
Tập mấy vậy ạ,0
t đaq xem cai deo gi vay..,1
Tốn tiền 5g quá =))),0
Xem bẩn mắt phim lon,0
Má nó t đag xem jz,0
Càng xem càng cuốn vậy ta,1
Vô phúc lắm mới xem trúng video này .cmcm,0
2 cha đóng xong nhìn lại chắc oẹ chớt,1
Vãi l 🙂,1
Phim hơn chục năm rồi người ơi :)))) chị hồng là gì,0
Điện ảnh VN hay..có thể ra đc thể loại pim này.,1
Phim không dành cho con nít trẻ em dưới 18,0
Tr ơi 2 ảnh bạoooo. 😆,1
Toét cả đíc mà n đéo yêu 🤣,0
Quan hệ kiểu nào trời,0
Ai nhột thì t chịu chứ... t thấy muốn ói quá bây 🫣,0
Phim gì gay cấn dữ vậy,0
Đoán nhẹ 2 ah tên Lê và Sơn 🤡💧,1
đụ mẹ đấu kiếm à,0
Phim như cc.kiểm duyệt như nào lại để mấy thằg gay này làm phim hỏng hết thế hệ trẻ.phải như Trung Quốc kia kìa cấm mấy phim ẻo lả,0
"Phim như cc địt bố chúng m _x000D_
Làm ảnh hưởng bọn trẻ con",1
Ăn chuối cho mượt ass à,0
Cho chim ăm cức à,1
Con me tui bay lu do day,1
Tởm vãi cả long,1
vãi l,1
Cl gì v tr,1
Chỉ có con trai mới đem lại hạnh phúc cho nhau thôi 😂😂,1
bạn jv ạ 🥰,1
cái deo gi vay tr???,1
t dag coi deogvtr,1
biết nảy coi phim sẽ được rồi vô lướt fb chi hong biết🥲,0
Bạn gì kì vậy trời,0
GAY cấn vậy trời,1
Nay lướt mạng vậy đủ rồi,1
 t lỡ mù r,0
T đang coi cái j zậy :),0
Chi Hồng vn,1
Hơn cả phim set,0
Moá nó chứ :( phang zô đích ầm ầm mà nó kêu chỉ coi là bạn :)),0
2 ôg đóng phim sao giấu tui v,0
? phim cc j v,0
Cái lồn má làm phim biến chất biến thái vậy.,0
Bệnh hoạn vậy cũng chiếu,1
Dm diễn viên cũng gan quá nhỉ hay bd thật,0
chắc xoá fb,1
Xem con hơn phim kinh di,1
Kinh tởm,0
Gớm vậy,0
qua nhà tui ăn cơm,0
Kết Lam bị xe tông chết🥲🥲. Buồn,0
Thoại hoang dã dữ d mấy cha =)))))))))),0
Đụ cl má,0
xạo xạo muốn t ịch thì nói đi🗿🗿🗿🗿🗿🗿🗿🗿👽👽👽👽😇😇😇😇😇😇😇😇,0
Đu ma cha phim việt nam ô nhục vải 🤣,0
ban đầu xem thấy ghê vl. Tí tì nôn 😆😆,0
=)))))) phim thấy ghê,0
Kết Phim như L,1
vô phúc vãi l,1
ê ghê nha ba ;)),1
Sợ cái thứ mà bóng chê bóng á,1
Dmm chúng mx phim như lồn,0
Tao coi cái loz gì vậy trời,1
Đéo cái loz tét bét coi là ban .mât day,1
đoán vội admin là gay,0
Nhận thức về giới tính của t bị phá vỡ hoàn toàn nhờ bộ phim này:)),0
 chỉ xem là bạn :'))),1
 m tưởng m là cái gì quan trọng trong xã hội lắm chắc ,1
tao coi gii dạ,1
Clm Hồng Tỷ là đã đủ lắm r :))),0
Clm. Phim này cũng đc sản xuất hã,0
 phim gì mà thẳng thắn quá,0
K biết 2 a có dùng biện fap tránh thai nào k chứ đục suốt k có bầu à ta 🥹,1
cdm phim tục,0
Còn thứ mà bóng mà gồng nói là trai thẵng thấy trai lòi đuôi ra ,1
Eoo oii cái phimm,1
Dụ má:)),0
Clm thấy gớm,0
Yêu cái lồn địt mẹ phim xúc phạm người xem,1
Boy love Việt Nam -)),0
Fb t này toàn cl gì ko z,0
Súcccc vậtttt đạo diễn,1
phim chục năm r,1
Mấy ba mấy má nuôi con ko tự quản con mình đi còn muốn xh quản dùm hả:),1
Hay v hong lẽ coi một mình,0
có 2 ông anh lớn thích thể loại này 😌,1
nhà e cúp điện rùi tối e wa nhoa a 😄,1
 phim VN cx k tha🙏🏻,0
quá nguy hiểm🤡,0
Phim sẽ còn lịch sự hơn,0
Xin tên phim,0
Phim này súc vật xem,0
Phim dành cho mấy tk lgbt,0
 nữa nè mom,0
tao chắc phải cạn phước lắm mới lướt được cái vid này,0
Biết thế đéo vào fb,0
Dmm mới sáng,1
Thấy mik cx ấy ấy phim cx cuốn cuốn,0
chúc ông có một buổi sáng vui vẻ,0
kìa m boi love của m này,0
Bệnh hoạn vl,1
ĐM TAO ĐANG XEM CÁI LOL GÌ VẬY TRỜI 😳😳😳😳,1
svat phim,0
Ngọc Giàu rất gì và này nọ,0
Xui lắm mới lướt trúng vl thiệt chứ,0
Ngọc Nhi phim cỡ này,1
Đoàn Trường Khánh Giang nghe ns dạo này e đang tìm phim để xem.,1
sao thằng trong video giống m v Minh Phú,1
Cái cốt đàn ông gặt nó thik mép ngàn đời ko đổi máu duox,0
Duma tui may,1
Phim xàm l,0
đống tiền mạng nó cho coi mấy cái cc này nè,0
Chị Hồng TQ phiên bản ngược hả,0
 fb tao toàn mấy cha gớm chết,0
Cái đìn dit gì v,1
 Đụ má t đang coi cái gì vậy trời,1
Hơn cả phim sex,1
1 lần sẻ ghiền,0
hình phạt cho người giờ này chưa chịu ngủ,0
chang tha song dung gioi tinh cua minh ma tot- hanh phuc - con hon song guong ep lam,1
Cạn phước lắm mới thấy video này,1
 phim VN bám sát thực tế hơn tung của nhiều,0
hình phạt cho kẻ ngủ đến 11h trưa à 🥲,0
Duma phim gì ghê vậy bay 🥵,0
Ác mộng trời má ơi,0
Dcm cặn bã xã hội đồi truỵ tuỵ lạc vcl,0
Phim gì dãy,0
 đang hot,1
vãi cak,1
Sáng sớm vô phước lắm mới xe được clip này 😀,1
xem thấy cuốn quá,1
ghiền quá,0
Coi cc gì vậy trời :)),0
Nam ko ra nam,1
Duma vai gãy🙂,0
Bảo sao bị kì thị:)),0
 nay nhà em cúp nước.. Em dẫn thêm 2 thằng bạn qua nhà Anh tắm ké nha,0
cái j nè e ơi =))),1
phim gay cấn sẽ là một bộ phim thành cong,1
 nay moi tham=)),1
vn sản xuất dk cái phim loz này à xem ghê vcl,0
Tự nhiên xem thấy cũn thích thích🤡,0
film bốc quá :)),0
Chưa gì thấy tốn nữa tháng tiền mạng 🤡,1
Tình cảm đến vãi cả cứt:))),0
Giống y cái phim hotboy nổi loạn ngày xưa :),1
cái j x mad,0
phim hay nè,0
Trr nềk,1
cdm thể loại đ gì vậy:))),1
clm ớn vậy cha,0
t thấy m cũng phải thấy🗿,0
Xin tên phim,0
1 ngày tồi tệ khi thấy đường,0
Thành Lợi cha ơi cha,1
vlon hậu quả của việc thức khuya à,1
Film VN xưa tục z😂,0
Mà hồi xưa vn theo cái style mỹ,0
Khó coi quá vậy:)),0
t gi v,0
 quý lắm mới tag coi đó má:)),1
 anh với ảnh đã lmj ?,0
 xem thấy thích thích,0
  I cant stand being far away from u:)),1
t thấy tụi bay cũng phải thấy,0
thèm ịch thì nói đại đi em🥰,0
Say miến tây là saygex miền tây à,0
Tàii phim hay nè bạn t5 tuần ae mình coi chung,0
Lê và Sơn hả ad,0
Clm sao lướt gặp trúng cái video này vậy :))) ,0
 Nhà Hiếu có bị cúp nước không ??,0
mở bát như l luôn mà,1
Ác,1
 phim saygex,0
J nx vậy wtf hỏng não t,0
 ghiền k anh,1
 m coi nó hiện qua t ha j z,0
Cú sốc 5h sáng:),1
coi là bạn mà z đó hả,0
 duma e thấy a cũng phải thấy,1
đừng nghĩ tới nha m,0
Siang mas,0
hay vậy ta,0
đang bón coi xong tiêu chảy luôn,0
hẹ hẹ đm,0
muốn thì nói đi,1
càng coi càng cuốn ne,0
Làm quả lọ thôi nào ae,0
má cái đ gì v tròi,0
sao càng xem càng thích vậy nhỉ,0
biết thế ngủ cho rồi thức 7h làm gì ko biết,1
cú sốc lúc 23:31🥰,0
Kinh tỡ,0
Omg ạ,1
Ghê quá má,1
Ủa ông trái giống ck bà viên vậy,0
 coi r rì viu giùm vs bà,0
 muốn thì nói,0
gio tới e ne,0
Cuốn qá ta  nào mấy ae thân làm thử đi,0
 cỡ đó rồi mà còn bảo là bạn,0
Tui thấy bệnh hoạn sao ấy,0
Á má ơi,0
Gớm vl,0
"Fb t nay bị lm sao ấy_x000D_
Thấy hoài lun🥲",0
Bộ phim bệnh nhất năm,0
thử b,0
Clm tốn tiền mạng để lướt ngây mấy phim loll này à🤮,0
tao quá sai khi mới sáng sớm đã lướt fb :((,0
moé biết thế nghe lời ny đi ngủ sớm ☺️,1
Mé t đang xem cái thể loại gì đây,0
 đòi làm hoài zi,0
xem đi ku,0
gớm vcl,1
Má thằng dao diễn làm mấy cái phim bệnh hoan,0
 lạn trên giường hay trò chơi qua đường😀?,0
gay chế độ cũ,1
cảm giác này sao ta khó tả hay dễ tả 🤔,0
gay real hay diễn v 🐧,0
hơn hai ông bố chưa,1
Nguyễn Điền Gia tr oi méeeeeeee,1
Vãi lồn,0
b iu đừng thế nhé t sợ đau đíc lắm 😞,0
Mỹ Hạnh a thấy e cũng phải thấy :)),0
Ê nhe ê :))) động lực nào khiến Huỳnh như xem hết dị,0
nói tí bọn lẩu vô cắn táp táp:)),0
 kakak cười ỉa,0
Bạn tôi bị mù cần kím tên phim Nguyễn Minh Trí,1
Kinh tởm vkl,0
Chỉ có Q4 mới có chung cư xác cầu,0
Ghê dcd,0
cạn phước lắm rồi,1
hết phước,0
Hải Đăng Vũ 2 ông bạn già,0
Diễm Trinh thô quá bé uiii,1
vãi lồn,0
tha t với,0
rất chi là ấy nhé,0
Khôi Nguyễn ê t cũng hết nc r,0
t thấy m cx phải thấy Truong Minh Phat,0
Xuan HieuPhạm Tank coi như t mù,0
đã nhen,1
Nguyễn Trung Hiếu rửa mắt bro,0
Jin Ntxp đấy đúng kiểu m hay xem k 🥰,0
Quoc Anh cai djt me may,0
Má choáy quá choáy,0
Má đang an cơm vừa xem chua đc 30giay ói ra hết,0
Tra Mi Vu ôi b ơi=))),0
Cái lồn má con cặc gì z,0
 cổ xuý bọn trẻ con LGBT à =))))))) hỏng hết 1 thế hệ,0
Đầu đất vc,1
T dang xem cjv,0
Đù má,0
ĐM rồi khúc đấu kiếm của tao đâu 🐦🗡️🐦🤣,0
Trần Thanh Duy Quoc Thai xao xao,1
"Một Cước Là Nằm "" xao xao",1
Coi nhất làm gì nè Tuấn Em Văn Nhấtn,1
mé chọt lỗ đýt nhau ak,0
Châu Ngọc Hiếu nhưng t lỡ yeu m r:))),1
Ánh Dương hay quá,1
:)) têm phim đâu ném đây để cày nào,0
Banh nè banh nè banh nè,0
Chí Linh t thấy r thì m cũng phải thấyy,0
Phim gì bệnh hoạn dữ,1
bệnh hoạn,0
Hôm nay đen rồi,0
Tran Duy Khanh xem mà cứ cuốn cuốn,0
Thanh Thành Minh Thiện Võ Minh Tâm có thằng nào thử chưa v,0
Nguyễn Minh Châu phim hay,0
Cái con cạc gì vậyyyyyy... 😑,0
Peach Huy má làm phim kiểu đ gì v tr =)),0
"Coi tu nhien n""ng k biết có s k Minh Thư",0
Trường Duy ae ko hà,0
Phạm Hoàng Thái nhà cúp nc r mai qua nhà tắm ké dc k,0
Mẹ vãi lồn Quang Nguyễn Anh Vuong Trần An @,0
Vãi pịa,1
Cứu t m ơi Nguyễn Nhi,1
Bình Thuận muốn gì nói luôn,0
Vl phần tiếp theo đâu,0
Đức Hùng thế mà kh biết ăn ổi à,0
Hảo Nguyễn thẳng này c 🙂,0
Làm ba cái phim chắc thằng đạo diễn nó thế,0
 Nắng Cực,0
 hên hồi đó ko thử ko chắc ghiền :))),0
 bọn này điên mẹ r,1
2 tg đực à...trời má lạ lùng vậy 😳😳😳,0
Kiệt Nguyễn Trần Dũng 2 thk bây à,0
Việt Hà Thái Hiếu Thái Hoài Thu Nguyễn Thị Trà Ly sướng,0
Xem phim xex lịch sự hơn 😔,1
phim lol,0
Gay cấn thật,1
Kiếm mà chém vào nhau thì nó mẻ hết,0
Cái thoại cứng đơ z á he,0
hên tôi với bạn ngày đó kh thử,0
 muốn gì cơ??,0
=)))) cũm hay hay ta ,1
T mù mẹ mắt r mày phải mù vs t,1
Bỏm con mắt t 👁👁 ai lấy cây kim chọc con mắt t coi 👁,0
 e xem a cũng ph xem,0
t thấy m cx ph thấy,0
Lmj khó coi v tr,0
má nó,0
Phim hay,0
hình phạt không ngủ sớm của tao đây sao trời,0
xin lỗi lỡ thấy,0
thẳng thắn v bar,0
Cảm thấy ngứa ngứa trong người quá ta .  Có lẽ nào😭,0
Khánh Hân nắng khuya hay nứng khuya,1
Đéo gì vậy,0
Hay vãi cô ơi coi này nè,0
Âu sít,0
Thành m trốn học đi đóng phim bao giờ v,0
Phim này làm hỏng hết thế hệ trẻ,0
xàm l,1
 j vậy bà,1
 e kb tag ai nên a coi chung nha,0
 say gét VN á m =))),0
 ng nam kì coi cái này thiệt hả,0
 vợ ơii👉🏻👈🏻,0
  lậm á,1
 nhưng t lỡ yêu m r t kbt lsao để dừng lại,0
Phim súc vật,0
DCM gay,1
Chĩh lắm v kk,1
Má. Câu đầu tiên nó chân thật gì đâu.,0
gay,0
Mù mẹ con mắt 😵‍💫,0
Nói tinh trùng khuyết tật thì tự ái dẫy lên hẹ hẹ 😀,0
ôi con mắt tao gì v 2 cha nội,1
 xem xong sốc=)),0
cứng rồi,0
Dâm nha,1
ê coi đi má,0
có lẽ nào ae mình ở lâu quá cái:))),1
thử 1 lần xem có ghiền ko a =)),0
Ditmephim,0
 t coi bây cx phải coi,0
trời ơi đm,0
má dag xem gì v,0
tui ở iu anh đó r giờ làm sao đây 🤣,0
kinh tởm,0
này đúng kiểu pháp 🤣🤣,1
Phí mẹ tiền mạng tháng này,0
anh ơi,1
Kinh vl,0
nhà e bị cúp nưỡ,0
anh xem em cũng phải xem,0
phim sex bạn ơi,0
Tởm vc,0
Có luôn hả :((,0
thật hả ???,1
càng coi càng cuốn 🤨,0
nhà bị cắt nước mấy hôm rồi ?,0
 nhớ coi hết phim,0
 😂😂 bựa chó vl,1
súng bên súng đầu sát bên đầu à?,0
tốn tiền mạng,0
Mẹo đấu kiếm à,0
 kk,0
tui thấy mấy bồ cũng phải thấy,0
em thấy chị cũng phải,1
tục quá k ạ ,0
cho tắm nhờ phát,0
 đụ má đập vào mắt,1
Bạn mà đj.t nhau🙄🙄,0
phim hay nè :)),0
 nói thẳng v luôn hả,0
Vãi loz thật,0
2 ảnh thẳng thắn quá🥰,0
ht cứu,1
 hay,1
Thu Hiền rcm cho mày,0
 chắc A Pink thử vs Cạnh Thu r quá,0
Đau đít giữ trời,1
 t thấy tụi m cũng ph thấy,0
Xin tên dùm ,0
trtr duma đang coi cai gi dị,0
Mắc ói,0
T cũng xui dữ lắm ms lướt ngay fim.này,0
Đéo hiểu sao mấy cái phim dị hợm này đc đăng chiếu !! Ảnh hưởng tâm sinh lí cả 1 thế hệ sau này,0
 t thấy thì tụi m cũng sẽ có phần,0
Phắc boi mà còn gay nữa e Trần Hồng Huy Hoàng,0
 coi nè,1
 đéo mẹ chứ,0
 vô Phước lướt trúng :)),0
 muốn gì cơ???,1
 đây là em hoàng béo,0
2 anh sao ko kèn sáo trúc hòa tấu tiếng rên thiên nhiên lại xàng cuốn,1
 tui coi mấy ông cũng phải coi,0
 2 đứa nó đó ,1
"Mất 2p tiền mạng ... :""<",0
Lồn jz?,0
kinh vl,0
Tục vcl :)),0
 xem đi,0
vl :))) t đi đọc đam còn hơn,0
m hát cái bài gì t quên rồi :),0
 cdm tục vãi🤣,1
Chọc lỗ dậu ra toàn pate,1
Tuanh cgi ne Cún:),1
 tao thấy m cũng phải thấy,0
2ảnh bạo,1
 tao thấy mày cũng phải thấy,0
tắm ké ko ,1
 dịu,1
cái lồn má,0
mé hoài niệm quá khoaaa,0
